timestamp,id,pin,type,value,options
2025-04-16T20:48:56.432Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:48:56.683Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:48:56.934Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:48:57.184Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:48:57.434Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:48:57.683Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:48:57.934Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:33.695Z,led-13,13,led,off,[object Object]
2025-04-16T20:53:33.946Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:34.196Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:34.447Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:34.697Z,led-13,13,led,off,
2025-04-16T20:53:34.698Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:34.949Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:35.199Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:35.449Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:35.698Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:35.949Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:36.200Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:36.451Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:36.701Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:36.951Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:37.200Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:37.450Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:37.700Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:37.951Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:38.202Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:38.452Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:38.702Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:38.953Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:39.204Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:39.454Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:39.704Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:39.954Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:40.204Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:40.454Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:40.704Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:40.954Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:41.204Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:41.455Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:41.705Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:41.956Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:42.206Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:42.456Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:42.706Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:42.956Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:43.114Z,led-13,13,led,on,
2025-04-16T20:53:43.207Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:43.456Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:43.707Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:43.956Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:44.206Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:44.456Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:44.707Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:44.957Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:45.083Z,led-13,13,led,off,
2025-04-16T20:53:45.207Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:45.457Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:45.707Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:45.957Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:46.207Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:46.458Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:46.708Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:46.958Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:46.981Z,led-13,13,led,on,
2025-04-16T20:53:47.209Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:47.460Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:47.709Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:47.959Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:48.210Z,sensor-14,14,sensor,7,[object Object]
2025-04-16T20:53:48.460Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:48.647Z,led-13,13,led,off,
2025-04-16T20:53:48.709Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:48.959Z,sensor-14,14,sensor,8,[object Object]
2025-04-16T20:53:49.037Z,led-13,13,led,off,
